cellId,lat,lon
23.1558,51.14863,-1.28649
23.15585,51.26477,-1.03159
23.15586,51.26664,-1.0473
23.16745,51.22446,-1.4692
23.16747,51.21632,-1.4693
23.22848,51.27004,-1.01707
23.2285,51.30556,-1.01074
23.25875,51.26231,-1.11693
23.25882,51.28382,-1.06582
23.25884,51.28101,-1.0706
23.28341,51.28745,-0.97909
23.31978,51.2619,-1.2525
23.31983,51.24287,-1.27023
23.3531,51.26138,-1.13518
23.35958,51.18116,-1.5391
23.35959,51.16365,-1.52555
23.3596,51.14723,-1.57735
23.35989,51.26126,-1.09193
23.3599,51.26186,-1.11907
23.37684,51.2511,-1.11204
23.38681,51.2107,-1.518
23.39802,51.22144,-1.47962
23.39803,51.21569,-1.47457
23.39804,51.21308,-1.48316
25.05236,51.7121,-0.42558
25.12608,51.71128,-0.30948
25.12609,51.7103,-0.34275
25.18708,51.67936,-0.45492
25.18709,51.67288,-0.46395
25.1871,51.67223,-0.47922
25.35265,51.71319,-0.27105
25.35266,51.71423,-0.29082
25.36253,51.69671,-0.43965
25.36254,51.68953,-0.43435
25.36255,51.68397,-0.44788
25.40296,51.71834,-0.36703
25.40307,51.70568,-0.43649
25.40308,51.70081,-0.44505
25.40892,51.71195,-0.29005
25.47307,51.71334,-0.39376
25.4732,51.71305,-0.4084
25.47333,51.71327,-0.41815
25.47834,51.71598,-0.38375
27.2074,51.9064,-0.20906
27.20742,51.89192,-0.20727
27.22385,52.00162,-0.19902
27.22387,51.97235,-0.22153
27.24704,51.94135,-0.23107
27.24706,51.93336,-0.2624
27.33719,51.9902,-0.17445
27.33721,51.99717,-0.19814
27.36259,51.95535,-0.22022
27.38046,51.85471,-0.19379
27.41703,51.98922,-0.19474
27.41704,51.98373,-0.21623
27.41706,51.98327,-0.24036
27.41888,51.99102,-0.22719
27.41889,51.9768,-0.2177
27.4189,51.97759,-0.23984
27.45164,51.96038,-0.26479
27.4519,51.95304,-0.26953
27.47348,51.93854,-0.21937
27.4737,51.91372,-0.2265
27.48027,51.87633,-0.18899
27.48031,51.88314,-0.2025
27.48726,51.96154,-0.26086
27.50392,51.81939,-0.18568
27.50393,51.82619,-0.20987
27.51677,51.85306,-0.18235
27.51678,51.83924,-0.16258
27.51679,51.8441,-0.1877
30.03,47.46673,19.12212
30.03026,47.45373,19.15337
30.03044,47.45821,19.17637
30.03046,47.4615,19.16427
30.03129,47.47773,19.08895
30.0313,47.47674,19.08375
30.03257,47.46748,19.12095
30.03297,47.47214,19.10812
30.03329,47.46912,19.11578
30.03334,47.47088,19.1109
30.03441,47.47566,19.09616
30.0372,47.46576,19.1276
30.03755,47.47877,19.08237
30.03788,47.46229,19.1486
30.03799,47.47473,19.10117
30.03801,47.47666,19.09472
30.09071,47.47993,19.06568
30.09072,47.4798,19.06612
30.0916,47.49374,19.08485
30.09211,47.49915,19.08212
30.09216,47.49641,19.08244
30.09218,47.49482,19.07694
30.09256,47.4909,19.08642
30.10145,47.49933,19.08197
30.10223,47.49946,19.08219
30.1106,47.47903,19.08844
30.11119,47.4806,19.06671
30.11156,47.47959,19.06729
