cellId,areaId,lat,lon,phones,isNew
217.12181,217,0,0,8,
217.12182,217,0,0,8,
217.12183,217,0,0,8,
217.12222,217,0,0,8,
217.12262,217,0,0,8,
217.12263,217,0,0,8,
217.12401,217,0,0,8,
217.12511,217,0,0,8,
217.12512,217,0,0,8,
217.12521,217,0,0,8,
217.12522,217,0,0,8,
217.12531,217,0,0,8,
217.12532,217,0,0,8,
217.12533,217,0,0,8,
217.12541,217,0,0,8,
217.12542,217,0,0,8,
217.12571,217,0,0,8,
217.12572,217,0,0,8,
217.12582,217,0,0,8,
217.12583,217,0,0,8,
217.12593,217,0,0,8,
217.12723,217,0,0,8,
217.12771,217,0,0,8,
217.12772,217,0,0,8,
217.13201,217,0,0,8,
217.13202,217,0,0,8,
217.13203,217,0,0,8,
217.13231,217,0,0,8,
217.13233,217,0,0,8,
217.13262,217,0,0,8,
217.13263,217,0,0,8,
217.13452,217,0,0,8,
217.13502,217,0,0,8,
217.13571,217,0,0,8,
217.13611,217,0,0,8,
217.13612,217,0,0,8,
220.13001,220,0,0,8,
220.13002,220,0,0,8,
220.13003,220,0,0,8,
220.13951,220,0,0,8,
220.13953,220,0,0,8,
225.10021,225,0,0,8,
225.10023,225,37.84035,-122.27075,8,
225.10033,225,37.8235,-122.31571,8,
225.10151,225,0,0,8,
225.10161,225,38.2106,-122.45647,8,
225.10163,225,37.86471,-122.32203,8,
225.10201,225,37.78843,-122.33352,8,
225.10202,225,37.78965,-122.33454,8,
225.10321,225,0,0,8,
225.10323,225,37.82172,-122.30698,8,
225.10651,225,0,0,8,
225.10652,225,0,0,8,
225.11331,225,0,0,8,
225.11332,225,0,0,8,
225.11351,225,37.82306,-122.30361,8,
225.11352,225,37.85132,-122.30943,8,
225.13841,225,37.7961,-122.33163,8,
225.13851,225,37.8268,-122.27582,8,
225.13861,225,37.83121,-122.28974,8,
225.13862,225,0,0,8,
225.13863,225,0,0,8,
225.19181,225,37.792265,-122.33257499999999,8,true
225.19182,225,37.80076666666667,-122.34606333333333,8,true
225.47493,225,37.826135,-122.29452,8,true
230.25571,230,37.42417,-121.91566,8,
230.25573,230,37.41925,-121.92294,8,
230.25881,230,37.43241,-121.91872,8,
230.25882,230,37.42671,-121.91344,8,
230.25883,230,37.426,-121.91916,8,
230.25901,230,37.43623,-121.89472,8,
230.25903,230,37.43043,-121.90522,8,
230.29271,230,37.42165,-121.93234333333334,8,true
230.29272,230,37.419805,-121.94977916666667,8,true
230.29273,230,37.41796,-121.96721500000001,8,true
230.29631,230,37.4602,-121.92389,8,
230.29632,230,37.44815,-121.92187,8,
230.29651,230,37.43118,-121.8867,8,
235.25193,235,37.40889,-121.94592,8,
235.25371,235,37.3942,-121.97785,8,
235.25372,235,37.38408,-121.97001,8,
235.25373,235,37.3869,-121.98215,8,
235.25641,235,37.37868,-121.9931,8,
235.25642,235,37.37279,-121.98047,8,
235.25643,235,37.37166,-121.99732,8,
235.25651,235,37.35572,-121.99733,8,
235.25652,235,37.34983,-121.99603,8,
235.25653,235,37.35108,-122.00522,8,
235.25661,235,37.37639,-121.96441,8,
235.25662,235,37.3653,-121.95449,8,
235.25663,235,37.36789,-121.96592,8,
235.25671,235,37.35708,-121.96866,8,
235.25672,235,37.35242,-121.96753,8,
235.25673,235,37.35193,-121.97546,8,
235.25711,235,37.38843,-121.98935,8,
235.25713,235,37.38454,-121.99751,8,
235.25751,235,37.4197,-121.95493,8,
235.25752,235,37.41622,-121.9795,8,
235.25771,235,37.37698,-121.9439,8,
235.25772,235,37.37528,-121.95119,8,
235.25773,235,37.38115,-121.96074,8,
235.25861,235,37.41856050459672,-121.96649282781004,8,true
235.25862,235,37.390699999999995,-121.9792325,8,true
235.25863,235,37.38968666666667,-121.98886,8,true
235.29061,235,37.35437,-122.01537,8,
235.29062,235,37.34952,-122.01385,8,
235.29081,235,37.392,-121.94943,8,
235.29082,235,37.39083,-121.94543,8,
235.29083,235,37.38773,-121.95742,8,
235.29281,235,37.36601,-121.97634,8,
235.29282,235,37.35632,-121.97321,8,
235.29292,235,37.39762,-121.98692,8,
235.29293,235,37.40235,-122.00161,8,
235.29311,235,37.37363,-121.98461,8,
235.29312,235,37.36055,-121.99362,8,
235.29313,235,37.36541,-121.99703,8,
235.32221,235,37.391415,-121.94743,8,true
235.43442,235,37.3915,-121.99828,8,
235.43443,235,37.39387,-122.00765,8,
240.20151,240,37.77431,-122.4194,8,
240.20152,240,37.76896,-122.41705,8,
240.20181,240,37.75206,-122.40398,8,
240.20182,240,37.74466,-122.40442,8,
240.20183,240,37.74817,-122.4057,8,
240.20221,240,37.77035,-122.40823,8,
240.20223,240,37.76922,-122.41343,8,
240.20241,240,37.7818,-122.42774,8,
240.20242,240,37.77603,-122.42573,8,
240.20261,240,37.772014999999996,-122.409295,8,true
240.20263,240,37.766090000000005,-122.40698,8,true
240.20292,240,37.75048,-122.41024,8,
240.20323,240,37.74343,-122.40203,8,
240.20371,240,37.73739,-122.40853,8,
240.20372,240,37.7341,-122.40811,8,
240.21201,240,37.76183,-122.40573,8,
240.22831,240,37.77576,-122.42303,8,
240.22832,240,37.77565,-122.42351,8,
240.24561,240,37.76401,-122.40785,8,
245.20421,245,37.69512,-122.39287,8,
245.20422,245,37.67282,-122.39153,8,
245.20431,245,37.6443,-122.40598,8,
245.20432,245,37.63675,-122.40599,8,
245.20681,245,37.62307,-122.40065,8,
245.20682,245,37.61838,-122.3958,8,
245.20731,245,37.61198,-122.3923,8,
245.20732,245,37.60203,-122.38936,8,
245.21131,245,37.66713,-122.3958,8,
245.21591,245,37.61592,-122.3873,8,
245.21592,245,37.68145,-122.39753,8,
245.21801,245,37.65256,-122.40597,8,
