cellId,areaId,lat,lon
260.20023,260,37.7787,-122.40087
260.20062,260,37.78963,-122.40236
260.20071,260,37.78159,-122.41907
260.20072,260,37.7789,-122.42021
260.20073,260,37.7819,-122.42081
260.20102,260,37.78688,-122.41749
260.20103,260,37.78684,-122.41884
260.20111,260,37.78915,-122.38794
260.20112,260,37.77992,-122.3938
260.20231,260,37.7876,-122.4035
260.20232,260,37.78445,-122.39963
260.20233,260,37.78518,-122.4041
260.20332,260,37.7781,-122.39817
260.21332,260,37.78538,-122.38799
260.21461,260,37.78415,-122.40952
260.21462,260,37.78391,-122.40782
260.21531,260,37.78629,-122.4124
260.21532,260,37.78088,-122.41209
260.21533,260,37.78241,-122.41857
260.21541,260,37.77844,-122.39936
260.21901,260,37.78845,-122.38994
260.22532,260,37.78964,-122.40409
260.22811,260,37.78671,-122.40837
260.22812,260,37.7862,-122.40709
260.22813,260,37.78602,-122.41002
260.22821,260,0,0
260.22822,260,0,0
260.22871,260,0,0
260.22872,260,37.78544,-122.39374
260.22881,260,0,0
260.22921,260,0,0
260.22922,260,37.78255,-122.40274
260.22923,260,37.78108,-122.40755
260.24513,260,37.77611,-122.41384
260.24521,260,37.78116,-122.40187
260.24522,260,37.77641,-122.40114
260.24523,260,37.77368,-122.41036
260.40023,260,37.78838,-122.4028
270.20781,270,37.58495,-122.33196
270.20782,270,37.5868,-122.34227
270.20791,270,37.56133,-122.30418
270.20792,270,37.55687,-122.29965
270.20802,270,37.54968,-122.30927
270.20831,270,37.59296,-122.3781
270.20833,270,37.60337,-122.38505
270.20961,270,37.53436,-122.27765
270.20962,270,37.52879,-122.26834
270.20963,270,37.53043,-122.27596
270.21001,270,37.5719,-122.3211
270.21111,270,37.52217,-122.26414
270.21112,270,37.51573,-122.25869
270.21113,270,37.52436,-122.26835
270.21121,270,0,0
270.21122,270,37.50385,-122.24234
270.21151,270,37.59806,-122.37377
270.21152,270,37.60047,-122.37728
270.21161,270,37.58406,-122.36171
270.21641,270,37.49386,-122.22736
270.21642,270,37.50123,-122.24054
270.21681,270,37.47008,-122.1582
270.21682,270,37.4759,-122.16783
270.21692,270,37.47714,-122.15041
270.21693,270,37.48074,-122.16478
270.21721,270,37.53917,-122.28335
270.21722,270,37.54489,-122.28874
270.21921,270,37.5737,-122.31759
270.21922,270,37.57241,-122.31604
270.21961,270,37.50099,-122.24235
270.21963,270,37.50688,-122.24924
270.22261,270,37.59243,-122.36618
270.22262,270,37.59766,-122.37449
270.25481,270,37.48342,-122.18284
270.25483,270,37.48553,-122.19235
270.25701,270,37.49079,-122.21625
270.25702,270,37.4868,-122.2034
275.21412,275,37.43932,-122.11344
275.21413,275,37.44657,-122.12123
275.21761,275,37.45211,-122.14494
275.21762,275,37.46232,-122.15578
275.21791,275,37.45114,-122.12649
275.21792,275,37.45326,-122.12964
275.21881,275,37.46129,-122.14124
275.21882,275,37.45903,-122.13892
275.21883,275,37.46529,-122.14972
275.25221,275,37.39163,-122.01304
275.25222,275,37.38392,-122.00921
275.25223,275,37.3858,-122.0152
275.25331,275,37.44869,-122.15932
275.25332,275,37.44391,-122.15628
275.25352,275,37.37419,-122.01744
275.25562,275,37.40841,-122.07134
275.25563,275,37.41172,-122.07782
275.25761,275,37.3955,-122.0132
